id,activity_time
"2388574","6374"
"2389064","1638517"
"2390774","376759"
"2392665","299"
"2395671","1958"
"2401397","3083"
"2402694","33"
"2407973","2481318"
"2410559","255928"
"2412532","116"
"2414569","640348"
"2415585","27"
"2416736","4063276"
"2416870","6549"
"2418206","814203"
"2422220","42296"
"2423616","1856225"
"2431398","41488"
"2433602","640869"
"2435283","4572835"
"2445665","2593543"
"2445952","5351546"
"2452488","521722"
"2452744","1648"
"2453648","563511"
"2456123","1819554"
"2461337","820"
"2466268","220"
"2466401","5130099"
"2468956","75"
"2470298","149"
"2471834","6055"
"2472977","35"
"2474310","391387"
"2474596","1773069"
"2475746","4649834"
"2486091","1277417"
"2488864","2499"
"2490334","5377333"
"2490707","336"
"2490810","1294616"
"2494450","1495"
"2495283","4345411"
"2496398","21"
"2498009","2032551"
"2509205","634846"
"2509229","12"
"2510716","4645460"
"2511126","4657050"
"2512428","1530752"
"2513268","483141"
"2513279","526"
"2513734","5279841"
"2514753","521"
"2520560","481"
"2520946","1839261"
"2523026","914768"
"2523543","3199625"
"2523756","967"
"2524182","37"
"2526110","490470"
"2526522","4705051"
"2530746","911"
"2531658","189"
"2531752","129369"
"2532983","3552241"
"2533872","1596"
"2536271","14"
"2536401","68"
"2539567","209"
"2540111","237"
"2540165","2307051"
"2540441","163"
"2540611","890"
"2541230","4930713"
"2541742","3773849"
"2542084","343"
"2547262","3308615"
"2547514","3680366"
"2548600","38"
"2550589","907219"
"2556015","943561"
"2556533","28"
"2558970","3465915"
"2560022","1718081"
"2561472","1632985"
"2561517","3348126"
"2563676","2233254"
"2564312","19"
"2564334","1163"
"2565481","210"
"2565542","148"
"2567738","4020581"
"2567893","1038"
"2568337","4678753"
"2568469","4"
"2571450","276"
"2572099","4111921"
"2573332","3996285"
"2580674","70"
"2582079","16"
"2585306","173"
"2590004","11"
"2591963","3247045"
"2593807","4222955"
"2596348","444948"
"2596375","33"
"2597863","1091743"
"2602840","910308"
"2603071","929"
"2603363","4883661"
"2604291","959694"
"2606707","3400593"
"2608234","1700597"
"2608743","360973"
"2610677","44"
"2615335","4755380"
"2615666","1668328"
"2617013","196"
"2618908","1293440"
"2621703","203483"
"2624616","6"
"2625344","733470"
"2626084","32"
"2626792","939916"
"2629889","2932524"
"2630011","4907519"
"2631269","4201579"
"2637896","2979373"
"2640564","78"
"2642179","28"
"2642451","271280"
"2648388","1325225"
"2648440","580002"
"2650073","2363308"
"2650189","499"
"2650632","636"
"2651599","2281701"
"2652138","93"
"2652573","208571"
"2654397","903937"
"2661655","185"
"2662591","30013"
"2663379","123"
"2664568","47"
"2669147","571043"
"2670346","60"
"2671220","76261"
"2673476","2294718"
"2674479","54"
"2676747","178"
"2678193","1697171"
"2679061","28"
"2681201","1220125"
"2686877","2354982"
"2690253","93"
"2695153","1586133"
"2696482","895"
"2699338","1680670"
"2699847","1019206"
"2701954","16"
"2703863","2801337"
"2704104","11"
"2705940","2306586"
"2707850","8"
"2709568","3894638"
"2710129","8423"
"2713482","383"
"2715421","1401432"
"2716331","2266628"
"2716394","29"
"2718648","5075297"
"2718716","404"
"2724885","16"
"2726003","371"
"2727043","4777404"
"2729468","200489"
"2731907","54053"
"2733055","201357"
"2739306","2264555"
"2741588","1625568"
"2743944","434"
"2743973","4375"
"2745058","76"
"2746932","4420858"
"2748685","17"
"2749108","13"
"2750008","850172"
"2751384","2887591"
"2754770","259"
"2758181","821994"
"2760911","4771509"
"2761529","5"
"2762911","2941743"
"2763765","102473"
"2764327","2125641"
"2766029","362"
"2766740","3881802"
"2767596","24"
"2768017","112"
"2768692","1026918"
"2769461","50"
"2771732","103"
"2771912","4754768"
"2774239","1138"
"2775512","264223"
"2776038","1065157"
"2777278","94"
"2778323","22002"
"2778915","128"
"2784513","2410282"
"2786571","7"
"2792084","34797"
"2792756","989030"
"2795063","302"
"2796996","125"
"2797133","115"
"2797590","609263"
"2797692","248589"
"2797942","730034"
"2798998","3327"
"2799495","2098687"
"2799503","764"
"2802298","2750390"
"2806703","15"
"2808092","680730"
"2809855","3032938"
"2813571","952"
"2816436","2009"
"2818156","18026"
"2819591","518"
"2821564","2075739"
"2825452","4956526"
"2831542","7212"
"2835727","3054736"
"2841399","2038316"
"2842888","3875383"
"2844759","229"
"2847259","247558"
"2847629","606674"
"2847995","1348"
"2848907","15565"
"2850158","296"
"2851976","2319350"
"2852414","3039021"
"2853229","10"
"2855326","207"
"2856530","2046356"
"2858873","710502"
"2859127","3610886"
"2859718","330"
"2862612","2673318"
"2864007","65"
"2866547","1368522"
"2879146","1471"
"2879712","78"
"2883727","74"
"2885078","1080571"
"2885530","1146727"
"2886724","160"
"2887787","1664717"
"2890114","970257"
"2890744","28"
"2892720","43"
"2893025","21"
"2893395","2663635"
"2893499","1181"
"2894466","5242734"
"2897860","519"
"2897878","62"
"2898249","2356247"
"2898685","1828970"
"2900819","50"
"2901008","2430871"
"2910008","244"
"2910902","3008398"
"2917202","4132695"
"2918797","2427"
"2923594","807828"
"2925763","14"
"2926638","3136360"
"2926704","3322055"
"2927636","769"
"2928752","1414"
"2929345","841368"
"2929996","5188667"
"2931157","1680"
"2934326","1228606"
"2934919","218"
"2936234","1728068"
"2936747","482"
"2940010","4560819"
"2940030","1761"
"2942030","335"
"2944249","4525"
"2944275","114"
"2945393","8790"
"2950246","2128232"
"2950812","27"
"2951917","4922399"
"2951938","127"
"2956778","3023894"
"2957024","3027309"
"2958193","1341"
"2958602","1993039"
"2958766","4547803"
"2959384","1067191"
"2964887","12"
"2965430","1406528"
"2966252","60"
"2966343","206"
"2968062","225686"
