id,view_count
"689170","1893"
"691085","3068"
"693974","3105"
"695802","28489"
"696307","962"
"697065","1649"
"698245","3139"
"699264","431"
"703272","750699"
"703450","917"
"703757","1566"
"704420","6448"
"704798","886"
"707072","287"
"707785","805"
"708210","54825"
"713064","1774"
"713644","321"
"714308","957"
"714574","724"
"715113","1971"
"717570","310"
"720710","3657"
"721472","22067"
"724257","266"
"725367","1866"
"725387","402"
"728108","608"
"728143","156206"
"730206","5286"
"731146","7766"
"731528","3650"
"733971","440"
"735001","3528"
"735193","199"
"740584","1910"
"740812","7389"
"740837","15601"
"741663","5560"
"743076","172"
"744530","15340"
"746377","798"
"746816","407"
"751759","5361"
"752108","3058"
"757001","4432"
"760166","15233"
"761889","533"
"767408","6224"
"767978","5469"
"769268","41376"
"769634","2725"
"771535","2350"
"777607","458945"
"778990","9679"
"781312","598"
"784848","157"
"785016","32440"
"786093","2396"
"788459","6461"
"790592","1514"
"790619","3331"
"790676","2019"
"797445","871"
"798266","27227"
"800463","40730"
"800685","69764"
"804155","566"
"809602","4742"
"811988","2099"
"812105","12326"
"812894","8350"
"815740","2212"
"818704","109855"
"820289","3058"
"822969","2093"
"823821","1550"
"825709","6331"
"827518","2918"
"827634","1421"
"829707","2664"
"834694","1189"
"835012","295"
"835826","593"
"836398","1554"
"839280","8638"
"839697","2035"
"840537","36740"
"840901","1936"
"841144","2966"
"843122","4673"
"843900","1367"
"845623","8022"
"847377","3026"
"847930","605"
"851538","2562"
"852297","430"
"855302","5352"
"867171","20668"
"868844","3035"
"870648","5203"
"875472","68928"
"877392","458"
"877820","417"
"878837","10378"
"879321","1940"
"882130","2380"
"882458","650"
"885804","2599"
"886683","668"
"887565","2473"
"888473","306"
"890085","3342"
"890447","156"
"891018","2589"
"892249","4473"
"893757","21993"
"894121","25188"
"896901","46494"
"897119","554"
"898660","5152"
"899991","54270"
"901034","11718"
"901279","514"
"905029","1240"
"906316","655"
"907302","5330"
"909035","257"
"909750","1726"
"909977","1632"
"910465","25491"
"910468","452"
"912580","29228"
"912741","61893"
"912850","2633"
"912955","7859"
"915999","32485"
"917475","2489"
"918627","723"
"918676","97587"
"920542","897"
"926172","25795"
"926920","7534"
"929351","6471"
"929720","17749"
"932339","4343"
"932866","549"
"934171","3588"
"937459","11666"
"938765","3857"
"938897","606"
"939040","11926"
"939677","8860"
"939941","1586"
"940529","914"
"941528","1204"
"942139","32573"
"946547","1228"
"949064","2416"
"949340","98207"
"949543","6459"
"949907","5658"
"951487","4792"
"951496","3152"
"952019","10771"
"954416","44272"
"954521","1559"
"955006","4793"
"955915","6101"
"957388","25446"
"967773","41536"
"970308","25443"
"970612","4257"
"971369","19159"
"978350","7617"
"978361","2756"
"982718","5184"
"984106","167"
"984525","3448"
"986244","678"
"986831","2741"
"991751","520"
"992997","1572"
"994291","1028"
"995253","4458"
"996025","3664"
"996588","2622"
"998084","603"
"1003490","4270"
"1005129","1560"
"1005381","922"
"1007348","274"
"1010571","1003"
"1010875","12074"
"1011245","120809"
"1019204","10005"
"1019378","255"
"1026828","1532"
"1028853","2260"
"1031772","6212"
"1032717","390"
"1036854","1956"
"1038683","908"
"1039465","21002"
"1041181","4250"
"1042605","163"
"1045183","4123"
"1046599","15541"
"1046635","4540"
"1047207","631"
"1048537","671"
"1048549","491"
"1051761","9158"
"1054117","697"
"1055078","3204"
"1055677","319"
"1055817","111"
"1056317","6804"
"1057501","2873"
"1058793","5359"
"1059603","334"
"1062324","357"
"1063049","185"
"1068880","1323"
"1075245","45569"
"1079131","6704"
"1081976","539"
"1082014","14510"
"1082386","277"
"1082694","1188"
"1085764","422"
"1085874","358"
"1086049","24948"
"1088041","1040"
"1088170","482"
"1088916","12986"
"1089046","48221"
"1093181","6764"
"1098254","3140"
"1099391","7463"
"1106163","3819"
"1108364","448"
"1108753","560"
"1109041","3579"
"1109761","8328"
"1112456","1128"
"1113405","5781"
"1116128","522"
"1117457","489"
"1118932","1498"
"1120190","28374"
"1123937","103"
"1124954","820"
"1125330","674"
"1130360","7118"
"1131188","1197"
"1134119","11940"
"1136405","10413"
"1137361","2749"
"1139856","1814"
"1140047","667"
"1147220","6688"
"1147308","14135"
"1149996","57576"
"1151450","17065"
"1152872","6284"
"1154114","988"
"1155304","1968"
"1155553","6104"
"1160146","278"
"1161022","4078"
"1162484","457"
"1162504","12587"
"1163921","20241"
"1166952","8228"
"1167208","409"
"1167525","1427"
"1167641","6499"
"1170738","3482"
"1171828","1148"
"1172598","703"
"1172709","1558"
"1175200","1406"
"1175828","2088"
"1178874","1122"
"1179053","241"
"1180152","1455"
"1180365","30996"
"1192141","5705"
"1193529","64673"
"1193578","2248"
"1194443","2313"
"1195396","298"
"1195439","1486"
"1195728","28136"
"1196217","1276"
"1199058","56366"
"1199761","2703"
"1205238","1005"
"1207620","78"
"1209789","1359"
"1211128","3295"
"1211487","1319"
"1212251","2842"
"1214011","2047"
"1214026","11366"
"1214387","24432"
"1214582","1486"
"1214621","5036"
"1214869","516"
"1216293","196"
"1217302","2108"
"1218284","5476"
"1220046","191837"
"1222974","38932"
"1223667","1328"
"1226213","7095"
"1227186","1162"
"1228439","23691"
"1228701","92807"
"1228998","11614"
"1230156","769"
"1231178","16067"
"1235218","2003"
"1235883","1958"
"1236452","9415"
"1236698","377"
"1240284","1899"
"1240851","823"
"1242663","6579"
"1242814","3170"
"1242993","26553"
"1243257","705"
"1244461","1346"
"1246091","133"
"1251463","28097"
"1252335","105175"
"1253814","2566"
"1254089","1068"
"1255996","8564"
"1257299","45817"
"1257812","2993"
"1259053","261"
"1259561","40286"
"1261021","2033"
"1261511","603"
"1261725","52"
"1262081","21405"
"1262262","1259"
"1264367","3891"
"1265037","290"
"1265810","1765"
"1266117","1061"
"1266367","3167"
"1266516","5305"
"1266652","1487"
"1267122","1747"
"1271199","4508"
"1273599","1762"
"1275196","6625"
"1275996","490"
"1276039","1194"
"1276817","998"
"1277185","2937"
"1277226","1828"
"1278099","739"
"1278400","4171"
"1278806","1015"
"1281102","12730"
"1282602","11346"
"1286795","10888"
"1288265","3416"
"1290167","1369"
"1293003","765"
"1293905","3812"
"1300890","36836"
"1301980","275"
"1302113","20466"
"1303026","4517"
"1303761","536"
"1307204","110040"
"1311986","2414"
"1312292","1988"
"1314055","280"
"1315604","1373"
"1316826","25669"
"1319375","78"
"1320345","4435"
"1321080","1194"
"1321419","52851"
"1321466","927"
"1323067","650"
"1327404","5449"
"1329169","4744"
"1329833","13729"
"1330223","13549"
"1331081","1725"
"1331792","282"
"1331887","39865"
"1332237","1552"
"1334631","6726"
"1334675","551"
"1335086","3320"
"1337923","8355"
"1339942","2999"
"1344652","10400"
"1345851","2855"
"1347098","330"
"1350516","8887"
"1350998","472"
"1352483","2252"
"1353933","773"
"1356051","31951"
"1356102","7293"
"1357569","4545"
"1358836","2132"
"1359956","4052"
"1360322","10424"
"1361886","561"
"1362334","1006"
"1362515","290"
"1363290","2340"
"1364922","409"
"1365041","2912"
"1367653","14310"
"1367774","1795"
"1372243","879"
"1372987","2447"
"1373887","14832"
"1377316","3059"
"1378902","5121"
"1379767","287"
"1381264","167572"
"1385507","181"
"1391342","5808"
"1397197","85"
"1398671","6261"
"1398843","175"
"1400481","3911"
"1401639","3953"
"1401667","62120"
"1403692","2080"
"1406034","885"
"1407042","679"
"1407932","2705"
"1409540","4657"
"1409663","670"
"1410652","4123"
"1419800","2189"
"1421064","1503"
"1425719","4385"
