id,owner_user_id
"986866",""
"991542","83819"
"992944","117802"
"999010","4937"
"1000351","51958"
"1006674","106281"
"1007337",""
"1013720",""
"1019707","123438"
"1020368",""
"1021798","116892"
"1022112","126245"
"1024730","108009"
"1029293","127139"
"1040724",""
"1042692","75501"
"1043996","57698"
"1046722","764272"
"1047391","47846"
"1053556","21677"
"1057871",""
"1058338",""
"1062254","109826"
"1063876",""
"1068271","80389"
"1070835","1341"
"1071837","125222"
"1072540","92631"
"1081025","42595"
"1081449","19493"
"1083546","115822"
"1084410","126741"
"1085236","133055"
"1085756","29669"
"1086801","82062"
"1088000","110186"
"1091665","130479"
"1097427","106122"
"1097923","20400"
"1099547","112632"
"1099697","6488"
"1103200","107036"
"1104565","115822"
"1105434","120330"
"1110758","108869"
"1113902","3314"
"1125772","130015"
"1127690","122238"
"1130296","122422"
"1135398","123577"
"1139489","123098"
"1139632","107074"
"1143417","17091"
"1145164","4778"
"1149191","18309"
"1149611",""
"1150111","63051"
"1154281","8047"
"1157775","130015"
"1161157","18309"
"1161378",""
"1162521",""
"1163985","50851"
"1164118","93571"
"1168552","68587"
"1168983","131456"
"1171207","137967"
"1172045","71399"
"1180076","355357"
"1180512",""
"1180716","18149"
"1192716","63235"
"1196418","83680"
"1197191","37843"
"1200091","72668"
"1202910","51700"
"1206390",""
"1214595","118513"
"1214974","118513"
"1215556","133535"
"1215709","133535"
"1216213","140962"
"1216640","118513"
"1216903","118513"
"1217170","148978"
"1217926","11398"
"1221371","149535"
"1222249","89253"
"1223586","127219"
"1224694","88847"
"1225794","4653"
"1231477","110976"
"1238628","3134"
"1241181","57625"
"1241570","111691"
"1244182","152410"
"1244932","39444"
"1249413","41661"
"1253396","142463"
"1265654","136259"
"1266605","98046"
"1267873",""
"1275888","52745"
"1275948","64763"
"1276238","52745"
"1276647",""
"1279418","156653"
"1281795","138462"
"1282949","87349"
"1283909",""
"1287180",""
"1287620","130422"
"1290423","112377"
"1291363","17174"
"1292792","153798"
"1292841","95956"
"1296597","64742"
"1297025","20903"
"1300317","2246271"
"1301117",""
"1303746",""
"1306823",""
"1308057","159447"
"1314611","142474"
"1317598","157629"
"1321969","147683"
"1323925","133221"
"1325378","19470"
"1327048","158455"
"1328361","76777"
"1333648",""
"1341622",""
"1344188","143327"
"1347099","164874"
"1349397","1174"
"1350748","130118"
"1352169","1265"
"1359624","144088"
"1362256","145359"
"1368164",""
"1371333",""
"1375393",""
"1376746","113584"
"1380144","114874"
"1381010","168710"
"1382788","72428"
"1383142","155336"
"1386978","105514"
"1387005","4639"
"1388609","162668"
"1403646","170705"
"1415205",""
"1415218","161562"
"1418846",""
"1420499","101495"
"1426984","159970"
"1427649","86611"
"1432592",""
"1435315","40350"
"1447499","169866"
"1453551","132257"
"1455037","27114"
"1457733","133472"
"1457793",""
"1460915","50851"
"1462462","65214"
"1463182","177481"
"1463867","165403"
"1466122","2136530"
"1469084","178103"
"1475128","83452"
"1482803","54426"
"1484671","122718"
"1485020","179985"
"1492560","181150"
"1495371","1275364"
"1497481","59242"
"1500959","179736"
"1503122","175562"
"1508825","140070"
"1510442","358634"
"1511283","163872"
"1513871",""
"1516715","183962"
"1519735","156283"
"1520973","80229"
"1526233",""
"1528012","85821"
"1530083","154137"
"1532137","25453"
"1532193","177883"
"1534166","21293"
"1534489","106512"
"1537478","76105"
"1547884","56"
"1551070","61306"
"1555149","170947"
"1557487","182793"
"1560300","87596"
"1562145","138604"
"1565052","148389"
"1571366","38172"
"1576040","77775"
"1580504","179736"
"1582511","116522"
"1582738","162252"
"1584807","28401"
"1596723","153141"
"1597153","60558"
"1600888","104380"
"1608703","162252"
"1614811","127212"
"1617858","2706"
"1619117",""
"1622145","74934"
"1625816","85385"
"1626919","56976"
"1628185","255239"
"1628522","64873"
"1628566","28843"
"1628799","192252"
"1630609","194328"
"1631134","193748"
"1631624","51649"
"1631683","2129547"
"1633173","162252"
"1637275","103202"
"1638248",""
"1640342","135503"
"1640731","198519"
"1641415","198614"
"1645830","143148"
"1646822","205707"
"1649305","21603"
"1650854","115983"
"1651118","199805"
"1652178","185051"
"1655626","200289"
"1655769","22470"
"1659591","197241"
"1660060","200422"
"1660405",""
"1666650","201578"
"1666869","201624"
"1674625","37347"
"1675383","6488"
"1676845","202958"
"1677463","101269"
"1680022","98078"
"1683198","184362"
"1690138","42595"
"1691730","184362"
"1693861","178340"
"1695326","191540"
"1700882","61712"
"1702415","79078"
"1704107","176741"
"1706433","199707"
"1712503","189161"
"1716735","117399"
"1717602","200349"
"1717746","200349"
"1723721","6068"
"1725341","141552"
"1726617","206446"
"1732724","191500"
"1733957","16371"
"1734213","80932"
"1734469",""
"1735374","211150"
"1736161","112744"
"1738715","188512"
"1741445","211733"
"1744282","94150"
"1745452","165750"
"1750214","171160"
"1753726","397232"
"1753822","104361"
"1754004",""
"1755743","192561"
"1757251","44269"
"1760325","153995"
"1779823","216598"
"1780907","216728"
"1781071","79252"
"1786532","397232"
"1791288","181726"
"1793993","85821"
"1795114","198004"
"1795615","201478"
"1800995","215680"
"1802066","94494"
"1802354","202335"
"1802708","207756"
"1804867","219564"
"1807974","111600"
"1812773","217649"
"1826893","222197"
"1837267","154487"
"1838366","223634"
"1845098","185764"
"1845554","186153"
"1846081","169895"
"1851995","119198"
"1854806","167958"
"1857039","226001"
"1860470","18511"
"1861630","226549"
"1862391","156765"
"1862710","186978"
"1864700","186978"
"1868320","116892"
"1877727","228410"
"1880445","44980"
"1897777","169992"
"1898659","230942"
"1901761","143725"
"1902833","220204"
"1908492","179311"
"1908909","200894"
"1914409","76173"
"1917937","136298"
"1918728","150150"
"1921043","194328"
"1921832","227094"
"1927380","234445"
"1933926","30203"
"1936633","232417"
"1938430","88894"
"1939289","163998"
"1941499",""
"1942199","236308"
"1944400","45849"
"1945005","139459"
"1945248","236707"
"1945741","209828"
"1948535","13676"
"1954502","208222"
"1955343","4322"
"1959448","175836"
"1960681","11708"
"1961438","111669"
"1962299","191474"
"1963195","238779"
"1964714","239001"
"1967181","239302"
"1980001","482"
"1980345","190451"
"1980772","160154"
"1983292","169992"
"1985638","102533"
"1985812","50924"
"1986708","102533"
"1986953","236172"
"1993833","74359"
"1997786","204467"
"1998341","242565"
"1999096","219594"
"1999234","107367"
"1999961","185511"
"2008173","74359"
"2014938","229849"
"2015984","245039"
"2017094","229761"
"2018241","105650"
"2019730","180344"
"2019790","245340"
"2024294","111669"
"2024968","162101"
"2032814",""
"2042243","122080"
"2043557","235158"
"2044517","248347"
"2046786","190388"
"2055851","237743"
"2057164","167016"
"2057403","24218"
"2060750","250289"
"2060982","240215"
"2060984","95267"
"2068595","32892"
"2073564","9572"
"2075923","145750"
"2082262","144364"
"2090872","252919"
"2092143","221794"
"2093666","227964"
"2098046","196975"
"2100184","204535"
"2107251","215230"
"2112644","50225"
"2113463","48062"
"2114896","256418"
"2115796","384670"
"2118882","59313"
"2123362","145645"
"2123586","30957"
"2123641","256814"
"2131527","183579"
"2131843","24837"
"2134085","141995"
"2137505","258997"
"2144468","217549"
"2151166","260535"
"2151171","250422"
"2153681","260841"
"2154976","51529"
"2157272","183528"
"2159920","231343"
"2160221","247272"
"2160232","192360"
"2166532","52256"
"2167310","84201"
"2168836","183680"
"2171303","262852"
"2171875","26051"
"2173465","248507"
"2180133","263851"
"2187103","215969"
"2189408","246114"
"2190261","6651"
"2190279","162252"
"2192948","248742"
"2194473","239916"
"2197492","222347"
"2199638",""
"2199898","241654"
"2206415","111435"
"2206586","121793"
"2209105","251467"
"2209457","52529"
"2210260","81235"
"2212223","111435"
"2212478","238030"
"2214799","45261"
"2222355",""
"2225257","269034"
"2228860","183039"
"2233062","78436"
"2234283","111479"
"2236936","270255"
"2238107","311097"
"2238515","260080"
"2240129","249729"
"2244357","84546"
"2250270","34134"
"2250752","271702"
"2255476","115136"
"2256495","49478"
"2256950","114666"
"2258781","17675"
"2260799","250422"
"2262672","3488"
"2263010","129124"
"2265991","273512"
"2268814","100733"
"2268985","123468"
"2272207","272839"
"2274438","419934"
"2275241","2984"
"2281728","146297"
